OCC_CODE,OCC_TITLE,tot_emp_per_year,a_mean_per_year,group,year
27-4021,Photographers,50070,40280,detailed,2015
27-4030,"Television, Video, and Motion Picture Camera Operators and Editors",47710,71500,broad,2015
27-4031,"Camera Operators, Television, Video, and Motion Picture",20060,59360,detailed,2015
27-4032,Film and Video Editors,27660,80300,detailed,2015
27-4090,Miscellaneous Media and Communication Equipment Workers,17670,70920,broad,2015
27-4099,"Media and Communication Equipment Workers, All Other",17670,70920,detailed,2015
29-0000,Healthcare Practitioners and Technical Occupations,8021800,77800,major,2015
29-1000,Health Diagnosing and Treating Practitioners,4960900,97030,minor,2015
29-1010,Chiropractors,32080,78370,broad,2015
29-1011,Chiropractors,32080,78370,detailed,2015
29-1020,Dentists,116750,177130,broad,2015
29-1021,"Dentists, General",100080,172350,detailed,2015
29-1022,Oral and Maxillofacial Surgeons,5000,233900,detailed,2015
29-1023,Orthodontists,5410,221390,detailed,2015
29-1024,Prosthodontists,710,161020,detailed,2015
29-1029,"Dentists, All Other Specialists",5550,171040,detailed,2015
29-1030,Dietitians and Nutritionists,59740,58410,broad,2015
29-1031,Dietitians and Nutritionists,59740,58410,detailed,2015
29-1040,Optometrists,35300,115750,broad,2015
29-1041,Optometrists,35300,115750,detailed,2015
29-1050,Pharmacists,295620,119270,broad,2015
29-1051,Pharmacists,295620,119270,detailed,2015
29-1060,Physicians and Surgeons,642720,202450,broad,2015
29-1061,Anesthesiologists,29220,258100,detailed,2015
29-1062,Family and General Practitioners,127430,192120,detailed,2015
29-1063,"Internists, General",48920,196520,detailed,2015
29-1064,Obstetricians and Gynecologists,20090,222400,detailed,2015
29-1065,"Pediatricians, General",28660,183180,detailed,2015
29-1066,Psychiatrists,24060,193680,detailed,2015
29-1067,Surgeons,41600,247520,detailed,2015
29-1069,"Physicians and Surgeons, All Other",322740,197700,detailed,2015
29-1070,Physician Assistants,98470,99270,broad,2015
29-1071,Physician Assistants,98470,99270,detailed,2015
29-1080,Podiatrists,9500,136180,broad,2015
29-1081,Podiatrists,9500,136180,detailed,2015
29-1120,Therapists,628440,76220,broad,2015
29-1122,Occupational Therapists,114660,81690,detailed,2015
29-1123,Physical Therapists,209690,85790,detailed,2015
29-1124,Radiation Therapists,16930,84460,detailed,2015
29-1125,Recreational Therapists,17880,47790,detailed,2015
29-1126,Respiratory Therapists,120330,59640,detailed,2015
29-1127,Speech-Language Pathologists,131450,76900,detailed,2015
29-1128,Exercise Physiologists,6620,49740,detailed,2015
29-1129,"Therapists, All Other",10890,59210,detailed,2015
29-1130,Veterinarians,65650,99000,broad,2015
29-1131,Veterinarians,65650,99000,detailed,2015
29-1140,Registered Nurses,2745910,71000,broad,2015
29-1141,Registered Nurses,2745910,71000,detailed,2015
29-1150,Nurse Anesthetists,39410,160250,broad,2015
29-1151,Nurse Anesthetists,39410,160250,detailed,2015
29-1160,Nurse Midwives,7430,93610,broad,2015
29-1161,Nurse Midwives,7430,93610,detailed,2015
29-1170,Nurse Practitioners,136060,101260,broad,2015
29-1171,Nurse Practitioners,136060,101260,detailed,2015
29-1180,Audiologists,12070,77420,broad,2015
29-1181,Audiologists,12070,77420,detailed,2015
29-1190,Miscellaneous Health Diagnosing and Treating Practitioners,35750,85120,broad,2015
29-1199,"Health Diagnosing and Treating Practitioners, All Other",35750,85120,detailed,2015
29-2000,Health Technologists and Technicians,2909230,45850,minor,2015
29-2010,Clinical Laboratory Technologists and Technicians,320550,51810,broad,2015
29-2011,Medical and Clinical Laboratory Technologists,162950,61860,detailed,2015
29-2012,Medical and Clinical Laboratory Technicians,157610,41420,detailed,2015
29-2020,Dental Hygienists,200550,72720,broad,2015
29-2021,Dental Hygienists,200550,72720,detailed,2015
29-2030,Diagnostic Related Technologists and Technicians,361430,62080,broad,2015
29-2031,Cardiovascular Technologists and Technicians,51400,56100,detailed,2015
29-2032,Diagnostic Medical Sonographers,61250,70880,detailed,2015
29-2033,Nuclear Medicine Technologists,19740,74990,detailed,2015
29-2034,Radiologic Technologists,195590,58520,detailed,2015
29-2035,Magnetic Resonance Imaging Technologists,33460,68340,detailed,2015
29-2040,Emergency Medical Technicians and Paramedics,236890,35430,broad,2015
29-2041,Emergency Medical Technicians and Paramedics,236890,35430,detailed,2015
29-2050,Health Practitioner Support Technologists and Technicians,712050,34710,broad,2015
29-2051,Dietetic Technicians,28950,29170,detailed,2015
29-2052,Pharmacy Technicians,379430,31680,detailed,2015
29-2053,Psychiatric Technicians,58450,36280,detailed,2015
29-2054,Respiratory Therapy Technicians,10000,49720,detailed,2015
29-2055,Surgical Technologists,100270,45940,detailed,2015
29-2056,Veterinary Technologists and Technicians,95790,33280,detailed,2015
29-2057,Ophthalmic Medical Technicians,39160,36690,detailed,2015
29-2060,Licensed Practical and Licensed Vocational Nurses,697250,44030,broad,2015
29-2061,Licensed Practical and Licensed Vocational Nurses,697250,44030,detailed,2015
29-2070,Medical Records and Health Information Technicians,189930,40430,broad,2015
29-2071,Medical Records and Health Information Technicians,189930,40430,detailed,2015
29-2080,"Opticians, Dispensing",73520,36820,broad,2015
29-2081,"Opticians, Dispensing",73520,36820,detailed,2015
29-2090,Miscellaneous Health Technologists and Technicians,117040,47560,broad,2015
29-2091,Orthotists and Prosthetists,7100,69960,detailed,2015
29-2092,Hearing Aid Specialists,5920,52850,detailed,2015
29-2099,"Health Technologists and Technicians, All Other",104020,45730,detailed,2015
29-9000,Other Healthcare Practitioners and Technical Occupations,151680,61820,minor,2015
29-9010,Occupational Health and Safety Specialists and Technicians,86270,67970,broad,2015
29-9011,Occupational Health and Safety Specialists,70220,71790,detailed,2015
29-9012,Occupational Health and Safety Technicians,16050,51270,detailed,2015
29-9090,Miscellaneous Health Practitioners and Technical Workers,65410,53710,broad,2015
29-9091,Athletic Trainers,23450,46940,detailed,2015
29-9092,Genetic Counselors,2520,74570,detailed,2015
29-9099,"Healthcare Practitioners and Technical Workers, All Other",39440,56400,detailed,2015
31-0000,Healthcare Support Occupations,3989910,29520,major,2015
31-1000,"Nursing, Psychiatric, and Home Health Aides",2363400,25500,minor,2015
31-1010,"Nursing, Psychiatric, and Home Health Aides",2363400,25500,broad,2015
31-1011,Home Health Aides,820630,22870,detailed,2015
31-1013,Psychiatric Aides,69550,28170,detailed,2015
31-1014,Nursing Assistants,1420570,26820,detailed,2015
31-1015,Orderlies,52660,27580,detailed,2015
31-2000,Occupational Therapy and Physical Therapist Assistants and Aides,174800,46790,minor,2015
31-2010,Occupational Therapy Assistants and Aides,43030,53550,broad,2015
31-2011,Occupational Therapy Assistants,35460,58340,detailed,2015
31-2012,Occupational Therapy Aides,7570,31090,detailed,2015
31-2020,Physical Therapist Assistants and Aides,131770,44590,broad,2015
31-2021,Physical Therapist Assistants,81230,55250,detailed,2015
31-2022,Physical Therapist Aides,50540,27440,detailed,2015
31-9000,Other Healthcare Support Occupations,1451710,33970,minor,2015
31-9010,Massage Therapists,92090,43170,broad,2015
31-9011,Massage Therapists,92090,43170,detailed,2015
31-9090,Miscellaneous Healthcare Support Occupations,1359620,33340,broad,2015
31-9091,Dental Assistants,323110,36920,detailed,2015
31-9092,Medical Assistants,601240,31910,detailed,2015
31-9093,Medical Equipment Preparers,50330,34950,detailed,2015
31-9094,Medical Transcriptionists,57830,35720,detailed,2015
31-9095,Pharmacy Aides,38040,27460,detailed,2015
31-9096,Veterinary Assistants and Laboratory Animal Caretakers,75620,25940,detailed,2015
31-9097,Phlebotomists,118160,32770,detailed,2015
31-9099,"Healthcare Support Workers, All Other",95290,36920,detailed,2015
33-0000,Protective Service Occupations,3351620,44610,major,2015
33-1000,Supervisors of Protective Service Workers,270660,70530,minor,2015
33-1010,First-Line Supervisors of Law Enforcement Workers,142890,78950,broad,2015
33-1011,First-Line Supervisors of Correctional Officers,42520,62770,detailed,2015
33-1012,First-Line Supervisors of Police and Detectives,100370,85810,detailed,2015
33-1020,First-Line Supervisors of Fire Fighting and Prevention Workers,58110,74970,broad,2015
33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,58110,74970,detailed,2015
33-1090,"Miscellaneous First-Line Supervisors, Protective Service Workers",69660,49540,broad,2015
33-1099,"First-Line Supervisors of Protective Service Workers, All Other",69660,49540,detailed,2015
33-2000,Fire Fighting and Prevention Workers,332730,49690,minor,2015
33-2010,Firefighters,318790,49330,broad,2015
33-2011,Firefighters,318790,49330,detailed,2015
33-2020,Fire Inspectors,13940,58020,broad,2015
33-2021,Fire Inspectors and Investigators,12290,59800,detailed,2015
33-2022,Forest Fire Inspectors and Prevention Specialists,1650,44740,detailed,2015
33-3000,Law Enforcement Workers,1223890,56860,minor,2015
33-3010,"Bailiffs, Correctional Officers, and Jailers",445520,45310,broad,2015
33-3011,Bailiffs,17730,44900,detailed,2015
33-3012,Correctional Officers and Jailers,427790,45320,detailed,2015
33-3020,Detectives and Criminal Investigators,106580,79620,broad,2015
33-3021,Detectives and Criminal Investigators,106580,79620,detailed,2015
33-3030,Fish and Game Wardens,5630,54970,broad,2015
33-3031,Fish and Game Wardens,5630,54970,detailed,2015
33-3040,Parking Enforcement Workers,8710,38280,broad,2015
33-3041,Parking Enforcement Workers,8710,38280,detailed,2015
33-3050,Police Officers,657460,61270,broad,2015
33-3051,Police and Sheriff's Patrol Officers,653740,61270,detailed,2015
33-3052,Transit and Railroad Police,3720,62090,detailed,2015
33-9000,Other Protective Service Workers,1524340,29050,minor,2015
33-9010,Animal Control Workers,13180,35330,broad,2015
33-9011,Animal Control Workers,13180,35330,detailed,2015
33-9020,Private Detectives and Investigators,30460,52840,broad,2015
33-9021,Private Detectives and Investigators,30460,52840,detailed,2015
33-9030,Security Guards and Gaming Surveillance Officers,1108310,28510,broad,2015
33-9031,Gaming Surveillance Officers and Gaming Investigators,10650,33880,detailed,2015
33-9032,Security Guards,1097660,28460,detailed,2015
33-9090,Miscellaneous Protective Service Workers,372390,28510,broad,2015
33-9091,Crossing Guards,68640,27730,detailed,2015
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",141670,21930,detailed,2015
33-9093,Transportation Security Screeners,41820,40050,detailed,2015
33-9099,"Protective Service Workers, All Other",120270,32690,detailed,2015
35-0000,Food Preparation and Serving Related Occupations,12577080,22850,major,2015
35-1000,Supervisors of Food Preparation and Serving Workers,1013460,34930,minor,2015
35-1010,Supervisors of Food Preparation and Serving Workers,1013460,34930,broad,2015
35-1011,Chefs and Head Cooks,129370,45920,detailed,2015
35-1012,First-Line Supervisors of Food Preparation and Serving Workers,884090,33330,detailed,2015
35-2000,Cooks and Food Preparation Workers,3147210,22990,minor,2015
35-2010,Cooks,2284470,23350,broad,2015
35-2011,"Cooks, Fast Food",520010,19610,detailed,2015
35-2012,"Cooks, Institution and Cafeteria",404980,25560,detailed,2015
35-2013,"Cooks, Private Household",380,37680,detailed,2015
35-2014,"Cooks, Restaurant",1150760,24430,detailed,2015
35-2015,"Cooks, Short Order",193170,21940,detailed,2015
35-2019,"Cooks, All Other",15160,28240,detailed,2015
35-2020,Food Preparation Workers,862740,22050,broad,2015
35-2021,Food Preparation Workers,862740,22050,detailed,2015
35-3000,Food and Beverage Serving Workers,7054960,21430,minor,2015
35-3010,Bartenders,589150,24110,broad,2015
35-3011,Bartenders,589150,24110,detailed,2015
35-3020,Fast Food and Counter Workers,3703110,19820,broad,2015
35-3021,"Combined Food Preparation and Serving Workers, Including Fast Food",3216460,19710,detailed,2015
35-3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",486650,20590,detailed,2015
35-3030,Waiters and Waitresses,2505630,23020,broad,2015
35-3031,Waiters and Waitresses,2505630,23020,detailed,2015
35-3040,"Food Servers, Nonrestaurant",257070,23010,broad,2015
35-3041,"Food Servers, Nonrestaurant",257070,23010,detailed,2015
35-9000,Other Food Preparation and Serving Related Workers,1361450,20830,minor,2015
35-9010,Dining Room and Cafeteria Attendants and Bartender Helpers,412830,21400,broad,2015
35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,412830,21400,detailed,2015
35-9020,Dishwashers,505000,20360,broad,2015
35-9021,Dishwashers,505000,20360,detailed,2015
35-9030,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",391150,20530,broad,2015
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",391150,20530,detailed,2015
35-9090,Miscellaneous Food Preparation and Serving Related Workers,52470,23060,broad,2015
35-9099,"Food Preparation and Serving Related Workers, All Other",52470,23060,detailed,2015
37-0000,Building and Grounds Cleaning and Maintenance Occupations,4407050,27080,major,2015
37-1000,Supervisors of Building and Grounds Cleaning and Maintenance Workers,270360,42680,minor,2015
37-1010,First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers,270360,42680,broad,2015
37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,166920,40060,detailed,2015
37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",103450,46900,detailed,2015
37-2000,Building Cleaning and Pest Control Workers,3159840,25440,minor,2015
37-2010,Building Cleaning Workers,3089590,25240,broad,2015
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",2146880,26180,detailed,2015
37-2012,Maids and Housekeeping Cleaners,926240,22990,detailed,2015
37-2019,"Building Cleaning Workers, All Other",16480,30200,detailed,2015
37-2020,Pest Control Workers,70250,34080,broad,2015
37-2021,Pest Control Workers,70250,34080,detailed,2015
37-3000,Grounds Maintenance Workers,976840,28090,minor,2015
37-3010,Grounds Maintenance Workers,976840,28090,broad,2015
37-3011,Landscaping and Groundskeeping Workers,895600,27460,detailed,2015
37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",24200,34570,detailed,2015
37-3013,Tree Trimmers and Pruners,40160,36030,detailed,2015
37-3019,"Grounds Maintenance Workers, All Other",16890,33340,detailed,2015
39-0000,Personal Care and Service Occupations,4307500,25650,major,2015
39-1000,Supervisors of Personal Care and Service Workers,208040,39870,minor,2015
39-1010,First-Line Supervisors of Gaming Workers,30340,46940,broad,2015
39-1011,Gaming Supervisors,22640,50130,detailed,2015
39-1012,Slot Supervisors,7700,37550,detailed,2015
39-1020,First-Line Supervisors of Personal Service Workers,177700,38670,broad,2015
39-1021,First-Line Supervisors of Personal Service Workers,177700,38670,detailed,2015
39-2000,Animal Care and Service Workers,185780,24260,minor,2015
39-2010,Animal Trainers,11720,33600,broad,2015
39-2011,Animal Trainers,11720,33600,detailed,2015
39-2020,Nonfarm Animal Caretakers,174060,23630,broad,2015
39-2021,Nonfarm Animal Caretakers,174060,23630,detailed,2015
39-3000,Entertainment Attendants and Related Workers,551590,22140,minor,2015
39-3010,Gaming Services Workers,119540,22730,broad,2015
39-3011,Gaming Dealers,94900,21810,detailed,2015
39-3012,Gaming and Sports Book Writers and Runners,12370,26170,detailed,2015
39-3019,"Gaming Service Workers, All Other",12280,26380,detailed,2015
39-3020,Motion Picture Projectionists,5620,24540,broad,2015
39-3021,Motion Picture Projectionists,5620,24540,detailed,2015
39-3030,"Ushers, Lobby Attendants, and Ticket Takers",114000,21060,broad,2015
39-3031,"Ushers, Lobby Attendants, and Ticket Takers",114000,21060,detailed,2015
39-3090,Miscellaneous Entertainment Attendants and Related Workers,312430,22260,broad,2015
39-3091,Amusement and Recreation Attendants,273870,21360,detailed,2015
39-3092,Costume Attendants,6120,52870,detailed,2015
39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",17430,23990,detailed,2015
39-3099,"Entertainment Attendants and Related Workers, All Other",15010,24110,detailed,2015
39-4000,Funeral Service Workers,64470,37460,minor,2015
39-4010,Embalmers,3710,41490,broad,2015
39-4011,Embalmers,3710,41490,detailed,2015
39-4020,Funeral Attendants,35290,25840,broad,2015
39-4021,Funeral Attendants,35290,25840,detailed,2015
39-4030,"Morticians, Undertakers, and Funeral Directors",25470,52990,broad,2015
39-4031,"Morticians, Undertakers, and Funeral Directors",25470,52990,detailed,2015
39-5000,Personal Appearance Workers,504640,28420,minor,2015
39-5010,"Barbers, Hairdressers, Hairstylists and Cosmetologists",362360,28790,broad,2015
39-5011,Barbers,14350,29140,detailed,2015
39-5012,"Hairdressers, Hairstylists, and Cosmetologists",348010,28770,detailed,2015
39-5090,Miscellaneous Personal Appearance Workers,142280,27500,broad,2015
39-5091,"Makeup Artists, Theatrical and Performance",3060,66560,detailed,2015
39-5092,Manicurists and Pedicurists,83840,23630,detailed,2015
39-5093,Shampooers,15190,20350,detailed,2015
39-5094,Skincare Specialists,40190,35300,detailed,2015
39-6000,"Baggage Porters, Bellhops, and Concierges",77980,27030,minor,2015
39-6010,"Baggage Porters, Bellhops, and Concierges",77980,27030,broad,2015
39-6011,Baggage Porters and Bellhops,46550,24430,detailed,2015
39-6012,Concierges,31430,30870,detailed,2015
39-7000,Tour and Travel Guides,38740,27640,minor,2015
39-7010,Tour and Travel Guides,38740,27640,broad,2015
39-7011,Tour Guides and Escorts,35930,26920,detailed,2015
39-7012,Travel Guides,2810,36920,detailed,2015
39-9000,Other Personal Care and Service Workers,2676260,24480,minor,2015
39-9010,Childcare Workers,573440,22310,broad,2015
39-9011,Childcare Workers,573440,22310,detailed,2015
39-9020,Personal Care Aides,1369230,21790,broad,2015
39-9021,Personal Care Aides,1369230,21790,detailed,2015
39-9030,Recreation and Fitness Workers,573920,32560,broad,2015
39-9031,Fitness Trainers and Aerobics Instructors,237760,40970,detailed,2015
39-9032,Recreation Workers,336150,26610,detailed,2015
39-9040,Residential Advisors,102540,27140,broad,2015
39-9041,Residential Advisors,102540,27140,detailed,2015
39-9090,Miscellaneous Personal Care and Service Workers,57140,24950,broad,2015
39-9099,"Personal Care and Service Workers, All Other",57140,24950,detailed,2015
41-0000,Sales and Related Occupations,14462120,39320,major,2015
41-1000,Supervisors of Sales Workers,1441700,50120,minor,2015
41-1010,First-Line Supervisors of Sales Workers,1441700,50120,broad,2015
41-1011,First-Line Supervisors of Retail Sales Workers,1193850,42900,detailed,2015
41-1012,First-Line Supervisors of Non-Retail Sales Workers,247850,84910,detailed,2015
41-2000,Retail Sales Workers,8799250,24490,minor,2015
41-2010,Cashiers,3501210,21010,broad,2015
41-2011,Cashiers,3478420,20990,detailed,2015
41-2012,Gaming Change Persons and Booth Cashiers,22790,24620,detailed,2015
41-2020,Counter and Rental Clerks and Parts Salespersons,685520,29790,broad,2015
41-2021,Counter and Rental Clerks,447050,28210,detailed,2015
41-2022,Parts Salespersons,238470,32750,detailed,2015
41-2030,Retail Salespersons,4612510,26340,broad,2015
41-2031,Retail Salespersons,4612510,26340,detailed,2015
41-3000,"Sales Representatives, Services",1808330,69100,minor,2015
41-3010,Advertising Sales Agents,149770,61690,broad,2015
41-3011,Advertising Sales Agents,149770,61690,detailed,2015
41-3020,Insurance Sales Agents,386140,64790,broad,2015
41-3021,Insurance Sales Agents,386140,64790,detailed,2015
41-3030,"Securities, Commodities, and Financial Services Sales Agents",319280,102860,broad,2015
41-3031,"Securities, Commodities, and Financial Services Sales Agents",319280,102860,detailed,2015
41-3040,Travel Agents,66560,38750,broad,2015
41-3041,Travel Agents,66560,38750,detailed,2015
41-3090,"Miscellaneous Sales Representatives, Services",886580,62360,broad,2015
41-3099,"Sales Representatives, Services, All Other",886580,62360,detailed,2015
41-4000,"Sales Representatives, Wholesale and Manufacturing",1743560,71080,minor,2015
41-4010,"Sales Representatives, Wholesale and Manufacturing",1743560,71080,broad,2015
41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",334010,89170,detailed,2015
41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",1409550,66790,detailed,2015
41-9000,Other Sales and Related Workers,669270,47780,minor,2015
41-9010,"Models, Demonstrators, and Product Promoters",88080,30100,broad,2015
41-9011,Demonstrators and Product Promoters,83620,29720,detailed,2015
41-9012,Models,4460,37240,detailed,2015
41-9020,Real Estate Brokers and Sales Agents,190510,62850,broad,2015
41-9021,Real Estate Brokers,38810,80210,detailed,2015
41-9022,Real Estate Sales Agents,151700,58410,detailed,2015
41-9030,Sales Engineers,72200,107160,broad,2015
41-9031,Sales Engineers,72200,107160,detailed,2015
41-9040,Telemarketers,226730,26470,broad,2015
41-9041,Telemarketers,226730,26470,detailed,2015
41-9090,Miscellaneous Sales and Related Workers,91760,39370,broad,2015
41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",7510,26160,detailed,2015
41-9099,"Sales and Related Workers, All Other",84240,40540,detailed,2015
43-0000,Office and Administrative Support Occupations,21846420,36330,major,2015
43-1000,Supervisors of Office and Administrative Support Workers,1424450,56170,minor,2015
43-1010,First-Line Supervisors of Office and Administrative Support Workers,1424450,56170,broad,2015
43-1011,First-Line Supervisors of Office and Administrative Support Workers,1424450,56170,detailed,2015
43-2000,Communications Equipment Operators,112260,30250,minor,2015
43-2010,"Switchboard Operators, Including Answering Service",100500,28990,broad,2015
43-2011,"Switchboard Operators, Including Answering Service",100500,28990,detailed,2015
43-2020,Telephone Operators,9750,40820,broad,2015
43-2021,Telephone Operators,9750,40820,detailed,2015
43-2090,Miscellaneous Communications Equipment Operators,2010,41990,broad,2015
43-2099,"Communications Equipment Operators, All Other",2010,41990,detailed,2015
43-3000,Financial Clerks,3179250,36680,minor,2015
43-3010,Bill and Account Collectors,318970,36600,broad,2015
43-3011,Bill and Account Collectors,318970,36600,detailed,2015
43-3020,Billing and Posting Clerks,491070,36300,broad,2015
43-3021,Billing and Posting Clerks,491070,36300,detailed,2015
43-3030,"Bookkeeping, Accounting, and Auditing Clerks",1580220,38990,broad,2015
43-3031,"Bookkeeping, Accounting, and Auditing Clerks",1580220,38990,detailed,2015
43-3040,Gaming Cage Workers,17650,27780,broad,2015
43-3041,Gaming Cage Workers,17650,27780,detailed,2015
43-3050,Payroll and Timekeeping Clerks,166700,42130,broad,2015
43-3051,Payroll and Timekeeping Clerks,166700,42130,detailed,2015
43-3060,Procurement Clerks,71470,41010,broad,2015
43-3061,Procurement Clerks,71470,41010,detailed,2015
43-3070,Tellers,498460,27260,broad,2015
43-3071,Tellers,498460,27260,detailed,2015
43-3090,Miscellaneous Financial Clerks,34700,42270,broad,2015
43-3099,"Financial Clerks, All Other",34700,42270,detailed,2015
43-4000,Information and Record Clerks,5513250,33610,minor,2015
43-4010,Brokerage Clerks,57490,51640,broad,2015
43-4011,Brokerage Clerks,57490,51640,detailed,2015
43-4020,Correspondence Clerks,7320,36340,broad,2015
43-4021,Correspondence Clerks,7320,36340,detailed,2015
43-4030,"Court, Municipal, and License Clerks",130190,38230,broad,2015
43-4031,"Court, Municipal, and License Clerks",130190,38230,detailed,2015
43-4040,"Credit Authorizers, Checkers, and Clerks",41880,37920,broad,2015
43-4041,"Credit Authorizers, Checkers, and Clerks",41880,37920,detailed,2015
43-4050,Customer Service Representatives,2595990,34560,broad,2015
43-4051,Customer Service Representatives,2595990,34560,detailed,2015
43-4060,"Eligibility Interviewers, Government Programs",130420,43040,broad,2015
43-4061,"Eligibility Interviewers, Government Programs",130420,43040,detailed,2015
43-4070,File Clerks,140560,29900,broad,2015
43-4071,File Clerks,140560,29900,detailed,2015
43-4080,"Hotel, Motel, and Resort Desk Clerks",243210,22610,broad,2015
43-4081,"Hotel, Motel, and Resort Desk Clerks",243210,22610,detailed,2015
43-4110,"Interviewers, Except Eligibility and Loan",184050,32930,broad,2015
43-4111,"Interviewers, Except Eligibility and Loan",184050,32930,detailed,2015
43-4120,"Library Assistants, Clerical",100090,26580,broad,2015
43-4121,"Library Assistants, Clerical",100090,26580,detailed,2015
43-4130,Loan Interviewers and Clerks,216380,39210,broad,2015
43-4131,Loan Interviewers and Clerks,216380,39210,detailed,2015
43-4140,New Accounts Clerks,48970,35820,broad,2015
43-4141,New Accounts Clerks,48970,35820,detailed,2015
43-4150,Order Clerks,185890,34080,broad,2015
43-4151,Order Clerks,185890,34080,detailed,2015
43-4160,"Human Resources Assistants, Except Payroll and Timekeeping",138910,39180,broad,2015
43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",138910,39180,detailed,2015
43-4170,Receptionists and Information Clerks,975890,28430,broad,2015
43-4171,Receptionists and Information Clerks,975890,28430,detailed,2015
43-4180,Reservation and Transportation Ticket Agents and Travel Clerks,138810,36780,broad,2015
43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,138810,36780,detailed,2015
43-4190,Miscellaneous Information and Record Clerks,177210,38770,broad,2015
43-4199,"Information and Record Clerks, All Other",177210,38770,detailed,2015
43-5000,"Material Recording, Scheduling, Dispatching, and Distributing Workers",3973740,33610,minor,2015
43-5010,Cargo and Freight Agents,81120,44470,broad,2015
43-5011,Cargo and Freight Agents,81120,44470,detailed,2015
43-5020,Couriers and Messengers,73180,29130,broad,2015
43-5021,Couriers and Messengers,73180,29130,detailed,2015
43-5030,Dispatchers,292570,40140,broad,2015
43-5031,"Police, Fire, and Ambulance Dispatchers",95630,40000,detailed,2015
43-5032,"Dispatchers, Except Police, Fire, and Ambulance",196940,40210,detailed,2015
43-5040,"Meter Readers, Utilities",34970,40900,broad,2015
43-5041,"Meter Readers, Utilities",34970,40900,detailed,2015
43-5050,Postal Service Workers,504540,50700,broad,2015
43-5051,Postal Service Clerks,78660,49090,detailed,2015
43-5052,Postal Service Mail Carriers,315950,51130,detailed,2015
43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",109930,50650,detailed,2015
43-5060,"Production, Planning, and Expediting Clerks",309110,48210,broad,2015
43-5061,"Production, Planning, and Expediting Clerks",309110,48210,detailed,2015
43-5070,"Shipping, Receiving, and Traffic Clerks",674820,32350,broad,2015
43-5071,"Shipping, Receiving, and Traffic Clerks",674820,32350,detailed,2015
43-5080,Stock Clerks and Order Fillers,1934060,25940,broad,2015
43-5081,Stock Clerks and Order Fillers,1934060,25940,detailed,2015
43-5110,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",69360,30980,broad,2015
43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",69360,30980,detailed,2015
43-6000,Secretaries and Administrative Assistants,3680630,39360,minor,2015
43-6010,Secretaries and Administrative Assistants,3680630,39360,broad,2015
43-6011,Executive Secretaries and Executive Administrative Assistants,666490,55460,detailed,2015
43-6012,Legal Secretaries,202660,46470,detailed,2015
43-6013,Medical Secretaries,530360,34330,detailed,2015
43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",2281120,35200,detailed,2015
43-9000,Other Office and Administrative Support Workers,3962840,32800,minor,2015
43-9010,Computer Operators,51510,42140,broad,2015
43-9011,Computer Operators,51510,42140,detailed,2015
43-9020,Data Entry and Information Processing Workers,267900,32840,broad,2015
43-9021,Data Entry Keyers,199240,30810,detailed,2015
43-9022,Word Processors and Typists,68660,38710,detailed,2015
43-9030,Desktop Publishers,13240,43900,broad,2015
43-9031,Desktop Publishers,13240,43900,detailed,2015
43-9040,Insurance Claims and Policy Processing Clerks,262910,39560,broad,2015
43-9041,Insurance Claims and Policy Processing Clerks,262910,39560,detailed,2015
43-9050,"Mail Clerks and Mail Machine Operators, Except Postal Service",95640,29930,broad,2015
43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",95640,29930,detailed,2015
43-9060,"Office Clerks, General",2944420,31890,broad,2015
43-9061,"Office Clerks, General",2944420,31890,detailed,2015
43-9070,"Office Machine Operators, Except Computer",63290,30980,broad,2015
43-9071,"Office Machine Operators, Except Computer",63290,30980,detailed,2015
43-9080,Proofreaders and Copy Markers,10810,37690,broad,2015
43-9081,Proofreaders and Copy Markers,10810,37690,detailed,2015
43-9110,Statistical Assistants,13510,44220,broad,2015
43-9111,Statistical Assistants,13510,44220,detailed,2015
43-9190,Miscellaneous Office and Administrative Support Workers,239630,34730,broad,2015
43-9199,"Office and Administrative Support Workers, All Other",239630,34730,detailed,2015
